"Item ID","Name","Upgrades","Item Name Option","Item Name Time","Mesh File Name","Item Description"
"2210100","Round Glasses","Sniper Bullets +6","Duration: 7 days","Girl/ACC/ACC_01_GLASSES_01_01_L0.nif","Round and regular.",""
"2210110","Round Glasses","Sniper Bullets +6","Duration: 30 days","Girl/ACC/ACC_01_GLASSES_01_01_L0.nif","Round and regular.",""
"2210120","Round Glasses","Sniper Bullets +6","Duration: 90 days","Girl/ACC/ACC_01_GLASSES_01_01_L0.nif","Round and regular.",""
"2210130","Round Glasses","Sniper Bullets +6","Duration: 1 day","Girl/ACC/ACC_01_GLASSES_01_01_L0.nif","Round and regular.",""
"2210140","Round Glasses","Sniper Bullets +6","Duration: 365 days","Girl/ACC/ACC_01_GLASSES_01_01_L0.nif","Round and regular.",""
"2210150","Round Glasses","Sniper Bullets +6","Unlimited","Girl/ACC/ACC_01_GLASSES_01_01_L0.nif","Round and regular.",""
"2210101","Round Glasses","Shotgun Bullets +9","Duration: 7 days","Girl/ACC/ACC_01_GLASSES_01_01_L0.nif","Round and regular.",""
"2210111","Round Glasses","Shotgun Bullets +9","Duration: 30 days","Girl/ACC/ACC_01_GLASSES_01_01_L0.nif","Round and regular.",""
"2210121","Round Glasses","Shotgun Bullets +9","Duration: 90 days","Girl/ACC/ACC_01_GLASSES_01_01_L0.nif","Round and regular.",""
"2210131","Round Glasses","Shotgun Bullets +9","Duration: 1 day","Girl/ACC/ACC_01_GLASSES_01_01_L0.nif","Round and regular.",""
"2210141","Round Glasses","Shotgun Bullets +9","Duration: 365 days","Girl/ACC/ACC_01_GLASSES_01_01_L0.nif","Round and regular.",""
"2210151","Round Glasses","Shotgun Bullets +9","Unlimited","Girl/ACC/ACC_01_GLASSES_01_01_L0.nif","Round and regular.",""
"2210200","Egg Glasses","Sniper Bullets +6","Duration: 7 days","Girl/ACC/ACC_01_GLASSES_02_01_L0.nif","Egg glasses for the eggheads.",""
"2210210","Egg Glasses","Sniper Bullets +6","Duration: 30 days","Girl/ACC/ACC_01_GLASSES_02_01_L0.nif","Egg glasses for the eggheads.",""
"2210220","Egg Glasses","Sniper Bullets +6","Duration: 90 days","Girl/ACC/ACC_01_GLASSES_02_01_L0.nif","Egg glasses for the eggheads.",""
"2210230","Egg Glasses","Sniper Bullets +6","Duration: 1 day","Girl/ACC/ACC_01_GLASSES_02_01_L0.nif","Egg glasses for the eggheads.",""
"2210240","Egg Glasses","Sniper Bullets +6","Duration: 365 days","Girl/ACC/ACC_01_GLASSES_02_01_L0.nif","Egg glasses for the eggheads.",""
"2210250","Egg Glasses","Sniper Bullets +6","Unlimited","Girl/ACC/ACC_01_GLASSES_02_01_L0.nif","Egg glasses for the eggheads.",""
"2210201","Egg Glasses","Shotgun Bullets +9","Duration: 7 days","Girl/ACC/ACC_01_GLASSES_02_01_L0.nif","Egg glasses for the eggheads.",""
"2210211","Egg Glasses","Shotgun Bullets +9","Duration: 30 days","Girl/ACC/ACC_01_GLASSES_02_01_L0.nif","Egg glasses for the eggheads.",""
"2210221","Egg Glasses","Shotgun Bullets +9","Duration: 90 days","Girl/ACC/ACC_01_GLASSES_02_01_L0.nif","Egg glasses for the eggheads.",""
"2210231","Egg Glasses","Shotgun Bullets +9","Duration: 1 day","Girl/ACC/ACC_01_GLASSES_02_01_L0.nif","Egg glasses for the eggheads.",""
"2210241","Egg Glasses","Shotgun Bullets +9","Duration: 365 days","Girl/ACC/ACC_01_GLASSES_02_01_L0.nif","Egg glasses for the eggheads.",""
"2210251","Egg Glasses","Shotgun Bullets +9","Unlimited","Girl/ACC/ACC_01_GLASSES_02_01_L0.nif","Egg glasses for the eggheads.",""
"2210300","Star Shades","Sniper Bullets +6","Duration: 7 days","Girl/ACC/ACC_01_GLASSES_03_01_L0.nif","Why hello, superstar!",""
"2210310","Star Shades","Sniper Bullets +6","Duration: 30 days","Girl/ACC/ACC_01_GLASSES_03_01_L0.nif","Why hello, superstar!",""
"2210320","Star Shades","Sniper Bullets +6","Duration: 90 days","Girl/ACC/ACC_01_GLASSES_03_01_L0.nif","Why hello, superstar!",""
"2210330","Star Shades","Sniper Bullets +6","Duration: 1 day","Girl/ACC/ACC_01_GLASSES_03_01_L0.nif","Why hello, superstar!",""
"2210340","Star Shades","Sniper Bullets +6","Duration: 365 days","Girl/ACC/ACC_01_GLASSES_03_01_L0.nif","Why hello, superstar!",""
