"Item ID","Name","Upgrades","Item Name Option","Item Name Time","Mesh File Name","Item Description"
"1169506","Tracker Helmet","Run speed +1.0%","Duration: 7 days","Monster/HAIR/AVA_04_HAIR_25_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169516","Tracker Helmet","Run speed +1.0%","Duration: 30 days","Monster/HAIR/AVA_04_HAIR_25_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169526","Tracker Helmet","Run speed +1.0%","Duration: 90 days","Monster/HAIR/AVA_04_HAIR_25_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169536","Tracker Helmet","Run speed +1.0%","Duration: 1 day","Monster/HAIR/AVA_04_HAIR_25_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169546","Tracker Helmet","Run speed +1.0%","Duration: 365 days","Monster/HAIR/AVA_04_HAIR_25_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169556","Tracker Helmet","Run speed +1.0%","Unlimited","Monster/HAIR/AVA_04_HAIR_25_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169507","Tracker Helmet","HP +40","Duration: 7 days","Monster/HAIR/AVA_04_HAIR_25_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169517","Tracker Helmet","HP +40","Duration: 30 days","Monster/HAIR/AVA_04_HAIR_25_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169527","Tracker Helmet","HP +40","Duration: 90 days","Monster/HAIR/AVA_04_HAIR_25_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169537","Tracker Helmet","HP +40","Duration: 1 day","Monster/HAIR/AVA_04_HAIR_25_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169547","Tracker Helmet","HP +40","Duration: 365 days","Monster/HAIR/AVA_04_HAIR_25_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169557","Tracker Helmet","HP +40","Unlimited","Monster/HAIR/AVA_04_HAIR_25_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1140100","Bottle Cap","No option","Unlimited","Monster/HAIR/AVA_04_HAIR_01_01_L0.nif","Straight from the trash.",""
"1140110","Bottle Cap","No option","Unlimited","Monster/HAIR/AVA_04_HAIR_01_01_L0.nif","Straight from the trash.",""
"1140120","Bottle Cap","No option","Unlimited","Monster/HAIR/AVA_04_HAIR_01_01_L0.nif","Straight from the trash.",""
"1140130","Bottle Cap","No option","Unlimited","Monster/HAIR/AVA_04_HAIR_01_01_L0.nif","Straight from the trash.",""
"1140140","Bottle Cap","No option","Unlimited","Monster/HAIR/AVA_04_HAIR_01_01_L0.nif","Straight from the trash.",""
"1140150","Bottle Cap","No option","Unlimited","Monster/HAIR/AVA_04_HAIR_01_01_L0.nif","Straight from the trash.",""
"1140101","Bottle Cap","No option","Unlimited","Monster/HAIR/AVA_04_HAIR_01_01_L0.nif","Straight from the trash.",""
"1140111","Bottle Cap","No option","Unlimited","Monster/HAIR/AVA_04_HAIR_01_01_L0.nif","Straight from the trash.",""
"1140121","Bottle Cap","No option","Unlimited","Monster/HAIR/AVA_04_HAIR_01_01_L0.nif","Straight from the trash.",""
"1140131","Bottle Cap","No option","Unlimited","Monster/HAIR/AVA_04_HAIR_01_01_L0.nif","Straight from the trash.",""
"1140141","Bottle Cap","No option","Unlimited","Monster/HAIR/AVA_04_HAIR_01_01_L0.nif","Straight from the trash.",""
"1140151","Bottle Cap","No option","Unlimited","Monster/HAIR/AVA_04_HAIR_01_01_L0.nif","Straight from the trash.",""
"1140200","Cowboy Steel Cap","Run speed +1.0%","Duration: 7 days","Monster/HAIR/AVA_04_HAIR_02_01_L0.nif","Yeehaw!",""
"1140210","Cowboy Steel Cap","Run speed +1.0%","Duration: 30 days","Monster/HAIR/AVA_04_HAIR_02_01_L0.nif","Yeehaw!",""
