"Item ID","Upgrades","Name","Item Name Option","Item Name Time","Mesh File Name","Item Description"
"3050000","Not unlimited/Not Upgradable","MicroGun","0","Gatling/WPN_GATLING_001_01.kfm","A heavy duty bullet monster with average cool time. Only the greatest MicroVolts can handle this beast.",""
"3050001","Not unlimited/Not Upgradable","MicroGun","0","Gatling/WPN_GATLING_GATLING_005_L0.kfm","A heavy duty bullet monster with average cool time. Only the greatest MicroVolts can handle this beast.",""
"3050002","Not unlimited/Not Upgradable","MicroGun","0","Gatling/WPN_GATLING_GATLING_002_L0.kfm","A heavy duty bullet monster with average cool time. Only the greatest MicroVolts can handle this beast.",""
"3050180","Not unlimited/Not Upgradable","Black DareDev","0","Gatling/WPN_GATLING_004_01.kfm","Special Edition (Beta 2017)",""
"3050190","Not unlimited/Not Upgradable","White DareDev","0","Gatling/WPN_GATLING_004_01.kfm","Special Edition (Beta 2017)",""
"3050100","Not unlimited/Not Upgradable","DareDev","0","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050110","Not unlimited/Not Upgradable","DareDev","0","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050120","Not unlimited/Not Upgradable","DareDev","0","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050130","Not unlimited/Not Upgradable","DareDev","0","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050140","Not unlimited/Not Upgradable","DareDev","0","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050150","Warm Up Time - Level 0","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050151","Warm Up Time - Level 1","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050152","Warm Up Time - Level 2","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050153","Warm Up Time - Level 3","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050154","Warm Up Time - Level 4","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050155","Warm Up Time - Level 5","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050156","Warm Up Time - Level 6","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050157","Warm Up Time - Level 7","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050158","Warm Up Time - Level 8","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050159","Warm Up Time - Level 9","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050161","Power - Level 1","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050162","Power - Level 2","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050163","Power - Level 3","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050164","Power - Level 4","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050165","Power - Level 5","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050166","Power - Level 6","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050167","Power - Level 7","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050168","Power - Level 8","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050169","Power - Level 9","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
"3050171","Run Speed - Level 1","DareDev","1","Gatling/WPN_GATLING_004_01.kfm","Impress your enemies with the DareDev, they'll wonder how you pull off your awesome stunts!",""
