"Item ID","Upgrades","Name","Item Name Option","Item Name Time","Mesh File Name","Item Description"
"1152300","King's Golden Locks","Run speed +1.0%","Duration: 7 days","Guy/HAIR/AVA_GILGAMESH_HAIR_01_01_L0.nif","Oh, this? It's just for show.",""
"1152310","King's Golden Locks","Run speed +1.0%","Duration: 30 days","Guy/HAIR/AVA_GILGAMESH_HAIR_01_01_L0.nif","Oh, this? It's just for show.",""
"1152320","King's Golden Locks","Run speed +1.0%","Duration: 90 days","Guy/HAIR/AVA_GILGAMESH_HAIR_01_01_L0.nif","Oh, this? It's just for show.",""
"1152330","King's Golden Locks","Run speed +1.0%","Duration: 1 day","Guy/HAIR/AVA_GILGAMESH_HAIR_01_01_L0.nif","Oh, this? It's just for show.",""
"1152340","King's Golden Locks","Run speed +1.0%","Duration: 365 days","Guy/HAIR/AVA_GILGAMESH_HAIR_01_01_L0.nif","Oh, this? It's just for show.",""
"1152350","King's Golden Locks","Run speed +1.0%","Unlimited","Guy/HAIR/AVA_GILGAMESH_HAIR_01_01_L0.nif","Oh, this? It's just for show.",""
"1152301","King's Golden Locks","HP +40","Duration: 7 days","Guy/HAIR/AVA_GILGAMESH_HAIR_01_01_L0.nif","Oh, this? It's just for show.",""
"1152311","King's Golden Locks","HP +40","Duration: 30 days","Guy/HAIR/AVA_GILGAMESH_HAIR_01_01_L0.nif","Oh, this? It's just for show.",""
"1152321","King's Golden Locks","HP +40","Duration: 90 days","Guy/HAIR/AVA_GILGAMESH_HAIR_01_01_L0.nif","Oh, this? It's just for show.",""
"1152331","King's Golden Locks","HP +40","Duration: 1 day","Guy/HAIR/AVA_GILGAMESH_HAIR_01_01_L0.nif","Oh, this? It's just for show.",""
"1152341","King's Golden Locks","HP +40","Duration: 365 days","Guy/HAIR/AVA_GILGAMESH_HAIR_01_01_L0.nif","Oh, this? It's just for show.",""
"1152351","King's Golden Locks","HP +40","Unlimited","Guy/HAIR/AVA_GILGAMESH_HAIR_01_01_L0.nif","Oh, this? It's just for show.",""
"1152800","School Hair","Run speed +1.0%","Duration: 7 days","Guy/HAIR/AVA_GUILTYSHUU_HAIR_01_01_L0.nif","School Hair",""
"1152810","School Hair","Run speed +1.0%","Duration: 30 days","Guy/HAIR/AVA_GUILTYSHUU_HAIR_01_01_L0.nif","School Hair",""
"1152820","School Hair","Run speed +1.0%","Duration: 90 days","Guy/HAIR/AVA_GUILTYSHUU_HAIR_01_01_L0.nif","School Hair",""
"1152830","School Hair","Run speed +1.0%","Duration: 1 day","Guy/HAIR/AVA_GUILTYSHUU_HAIR_01_01_L0.nif","School Hair",""
"1152840","School Hair","Run speed +1.0%","Duration: 365 days","Guy/HAIR/AVA_GUILTYSHUU_HAIR_01_01_L0.nif","School Hair",""
"1152850","School Hair","Run speed +1.0%","Unlimited","Guy/HAIR/AVA_GUILTYSHUU_HAIR_01_01_L0.nif","School Hair",""
"1152801","School Hair","HP +40","Duration: 7 days","Guy/HAIR/AVA_GUILTYSHUU_HAIR_01_01_L0.nif","School Hair",""
"1152811","School Hair","HP +40","Duration: 30 days","Guy/HAIR/AVA_GUILTYSHUU_HAIR_01_01_L0.nif","School Hair",""
