"Item ID","Name","Upgrades","Item Name Option","Item Name Time","Mesh File Name","Item Description"
"1169502","Tracker Helmet","Run speed +1.0%","Duration: 7 days","Mechanic/HAIR/AVA_02_HAIR_24_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169512","Tracker Helmet","Run speed +1.0%","Duration: 30 days","Mechanic/HAIR/AVA_02_HAIR_24_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169522","Tracker Helmet","Run speed +1.0%","Duration: 90 days","Mechanic/HAIR/AVA_02_HAIR_24_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169532","Tracker Helmet","Run speed +1.0%","Duration: 1 day","Mechanic/HAIR/AVA_02_HAIR_24_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169542","Tracker Helmet","Run speed +1.0%","Duration: 365 days","Mechanic/HAIR/AVA_02_HAIR_24_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169552","Tracker Helmet","Run speed +1.0%","Unlimited","Mechanic/HAIR/AVA_02_HAIR_24_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169503","Tracker Helmet","HP +40","Duration: 7 days","Mechanic/HAIR/AVA_02_HAIR_24_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169513","Tracker Helmet","HP +40","Duration: 30 days","Mechanic/HAIR/AVA_02_HAIR_24_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169523","Tracker Helmet","HP +40","Duration: 90 days","Mechanic/HAIR/AVA_02_HAIR_24_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169533","Tracker Helmet","HP +40","Duration: 1 day","Mechanic/HAIR/AVA_02_HAIR_24_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169543","Tracker Helmet","HP +40","Duration: 365 days","Mechanic/HAIR/AVA_02_HAIR_24_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1169553","Tracker Helmet","HP +40","Unlimited","Mechanic/HAIR/AVA_02_HAIR_24_01_L0.nif","A reward for slaying the Tracker Boss. Your name shall not be forgotten.",""
"1120100","Dreadlock Ponytail","No option","Unlimited","Mechanic/HAIR/AVA_02_HAIR_06_01_L0.nif","The choice cut of the ancient warriors!",""
"1120110","Dreadlock Ponytail","No option","Unlimited","Mechanic/HAIR/AVA_02_HAIR_06_01_L0.nif","The choice cut of the ancient warriors!",""
"1120120","Dreadlock Ponytail","No option","Unlimited","Mechanic/HAIR/AVA_02_HAIR_06_01_L0.nif","The choice cut of the ancient warriors!",""
"1120130","Dreadlock Ponytail","No option","Unlimited","Mechanic/HAIR/AVA_02_HAIR_06_01_L0.nif","The choice cut of the ancient warriors!",""
"1120140","Dreadlock Ponytail","No option","Unlimited","Mechanic/HAIR/AVA_02_HAIR_06_01_L0.nif","The choice cut of the ancient warriors!",""
"1120150","Dreadlock Ponytail","No option","Unlimited","Mechanic/HAIR/AVA_02_HAIR_06_01_L0.nif","The choice cut of the ancient warriors!",""
"1120101","Dreadlock Ponytail","No option","Unlimited","Mechanic/HAIR/AVA_02_HAIR_06_01_L0.nif","The choice cut of the ancient warriors!",""
"1120111","Dreadlock Ponytail","No option","Unlimited","Mechanic/HAIR/AVA_02_HAIR_06_01_L0.nif","The choice cut of the ancient warriors!",""
