"Item ID","Name","Upgrades","Item Name Option","Item Name Time","Mesh File Name","Item Description"
"1110100","Short Layered Bob","No option","Unlimited","Girl/HAIR/AVA_01_HAIR_02_01_L0.nif","A basic brown cut.",""
"1110110","Short Layered Bob","No option","Unlimited","Girl/HAIR/AVA_01_HAIR_02_01_L0.nif","A basic brown cut.",""
"1110120","Short Layered Bob","No option","Unlimited","Girl/HAIR/AVA_01_HAIR_02_01_L0.nif","A basic brown cut.",""
"1110130","Short Layered Bob","No option","Unlimited","Girl/HAIR/AVA_01_HAIR_02_01_L0.nif","A basic brown cut.",""
"1110140","Short Layered Bob","No option","Unlimited","Girl/HAIR/AVA_01_HAIR_02_01_L0.nif","A basic brown cut.",""
"1110150","Short Layered Bob","No option","Unlimited","Girl/HAIR/AVA_01_HAIR_02_01_L0.nif","A basic brown cut.",""
"1110101","Short Layered Bob","No option","Unlimited","Girl/HAIR/AVA_01_HAIR_02_01_L0.nif","A basic brown cut.",""
"1110111","Short Layered Bob","No option","Unlimited","Girl/HAIR/AVA_01_HAIR_02_01_L0.nif","A basic brown cut.",""
"1110121","Short Layered Bob","No option","Unlimited","Girl/HAIR/AVA_01_HAIR_02_01_L0.nif","A basic brown cut.",""
"1110131","Short Layered Bob","No option","Unlimited","Girl/HAIR/AVA_01_HAIR_02_01_L0.nif","A basic brown cut.",""
"1110141","Short Layered Bob","No option","Unlimited","Girl/HAIR/AVA_01_HAIR_02_01_L0.nif","A basic brown cut.",""
"1110151","Short Layered Bob","No option","Unlimited","Girl/HAIR/AVA_01_HAIR_02_01_L0.nif","A basic brown cut.",""
"1110200","Yellow Visor Pigtails","Run speed +1.0%","Duration: 7 days","Girl/HAIR/AVA_01_HAIR_01_01_L0.nif","Loveable pigtails with a mustard yellow visor.",""
"1110210","Yellow Visor Pigtails","Run speed +1.0%","Duration: 30 days","Girl/HAIR/AVA_01_HAIR_01_01_L0.nif","Loveable pigtails with a mustard yellow visor.",""
"1110220","Yellow Visor Pigtails","Run speed +1.0%","Duration: 90 days","Girl/HAIR/AVA_01_HAIR_01_01_L0.nif","Loveable pigtails with a mustard yellow visor.",""
"1110230","Yellow Visor Pigtails","Run speed +1.0%","Duration: 1 day","Girl/HAIR/AVA_01_HAIR_01_01_L0.nif","Loveable pigtails with a mustard yellow visor.",""
"1110240","Yellow Visor Pigtails","Run speed +1.0%","Duration: 365 days","Girl/HAIR/AVA_01_HAIR_01_01_L0.nif","Loveable pigtails with a mustard yellow visor.",""
"1110250","Yellow Visor Pigtails","Run speed +1.0%","Unlimited","Girl/HAIR/AVA_01_HAIR_01_01_L0.nif","Loveable pigtails with a mustard yellow visor.",""
"1110201","Yellow Visor Pigtails","HP +40","Duration: 7 days","Girl/HAIR/AVA_01_HAIR_01_01_L0.nif","Loveable pigtails with a mustard yellow visor.",""
"1110211","Yellow Visor Pigtails","HP +40","Duration: 30 days","Girl/HAIR/AVA_01_HAIR_01_01_L0.nif","Loveable pigtails with a mustard yellow visor.",""
