"Item ID","Name","Upgrades","Item Name Option","Item Name Time","Mesh File Name","Item Description"
"1180000","Gracious Hair","Run speed +1.0%","Duration: 7 days","Elf/HAIR/AVA_11_HAIR_01_02_L0.nif","Manufactured by Zooc Company. Equipped it will increase your armor.",""
"1180010","Gracious Hair","Run speed +1.0%","Duration: 30 days","Elf/HAIR/AVA_11_HAIR_01_02_L0.nif","Manufactured by Zooc Company. Equipped it will increase your armor.",""
"1180020","Gracious Hair","Run speed +1.0%","Duration: 90 days","Elf/HAIR/AVA_11_HAIR_01_02_L0.nif","Manufactured by Zooc Company. Equipped it will increase your armor.",""
"1180030","Gracious Hair","Run speed +1.0%","Duration: 1 day","Elf/HAIR/AVA_11_HAIR_01_02_L0.nif","Manufactured by Zooc Company. Equipped it will increase your armor.",""
"1180040","Gracious Hair","Run speed +1.0%","Duration: 365 days","Elf/HAIR/AVA_11_HAIR_01_02_L0.nif","Manufactured by Zooc Company. Equipped it will increase your armor.",""
"1180050","Gracious Hair","Run speed +1.0%","Unlimited","Elf/HAIR/AVA_11_HAIR_01_02_L0.nif","Manufactured by Zooc Company. Equipped it will increase your armor.",""
"1180001","Gracious Hair","HP +40","Duration: 7 days","Elf/HAIR/AVA_11_HAIR_01_02_L0.nif","Manufactured by Zooc Company. Equipped it will increase your armor.",""
"1180011","Gracious Hair","HP +40","Duration: 30 days","Elf/HAIR/AVA_11_HAIR_01_02_L0.nif","Manufactured by Zooc Company. Equipped it will increase your armor.",""
"1180021","Gracious Hair","HP +40","Duration: 90 days","Elf/HAIR/AVA_11_HAIR_01_02_L0.nif","Manufactured by Zooc Company. Equipped it will increase your armor.",""
"1180031","Gracious Hair","HP +40","Duration: 1 day","Elf/HAIR/AVA_11_HAIR_01_02_L0.nif","Manufactured by Zooc Company. Equipped it will increase your armor.",""
"1180041","Gracious Hair","HP +40","Duration: 365 days","Elf/HAIR/AVA_11_HAIR_01_02_L0.nif","Manufactured by Zooc Company. Equipped it will increase your armor.",""
"1180051","Gracious Hair","HP +40","Unlimited","Elf/HAIR/AVA_11_HAIR_01_02_L0.nif","Manufactured by Zooc Company. Equipped it will increase your armor.",""
"1180100","Nobel Hair","No option","Duration: 7 days","Elf/HAIR/AVA_11_HAIR_01_01_L0.nif","Manufactured by Zooc Company. It will provide no stats equipped.",""
"1180110","Nobel Hair","No option","Duration: 30 days","Elf/HAIR/AVA_11_HAIR_01_01_L0.nif","Manufactured by Zooc Company. It will provide no stats equipped.",""
"1180120","Nobel Hair","No option","Duration: 90 days","Elf/HAIR/AVA_11_HAIR_01_01_L0.nif","Manufactured by Zooc Company. It will provide no stats equipped.",""
"1180130","Nobel Hair","No option","Duration: 1 day","Elf/HAIR/AVA_11_HAIR_01_01_L0.nif","Manufactured by Zooc Company. It will provide no stats equipped.",""
"1180140","Nobel Hair","No option","Duration: 365 days","Elf/HAIR/AVA_11_HAIR_01_01_L0.nif","Manufactured by Zooc Company. It will provide no stats equipped.",""
"1180150","Nobel Hair","No option","Unlimited","Elf/HAIR/AVA_11_HAIR_01_01_L0.nif","Manufactured by Zooc Company. It will provide no stats equipped.",""
"1180101","Nobel Hair","No option","Duration: 7 days","Elf/HAIR/AVA_11_HAIR_01_01_L0.nif","Manufactured by Zooc Company. It will provide no stats equipped.",""
"1180111","Nobel Hair","No option","Duration: 30 days","Elf/HAIR/AVA_11_HAIR_01_01_L0.nif","Manufactured by Zooc Company. It will provide no stats equipped.",""
"1180121","Nobel Hair","No option","Duration: 90 days","Elf/HAIR/AVA_11_HAIR_01_01_L0.nif","Manufactured by Zooc Company. It will provide no stats equipped.",""
"1180131","Nobel Hair","No option","Duration: 1 day","Elf/HAIR/AVA_11_HAIR_01_01_L0.nif","Manufactured by Zooc Company. It will provide no stats equipped.",""
"1180141","Nobel Hair","No option","Duration: 365 days","Elf/HAIR/AVA_11_HAIR_01_01_L0.nif","Manufactured by Zooc Company. It will provide no stats equipped.",""
"1180151","Nobel Hair","No option","Unlimited","Elf/HAIR/AVA_11_HAIR_01_01_L0.nif","Manufactured by Zooc Company. It will provide no stats equipped.",""
"1180300","Knight Apprentice Hat","Run speed +1.0%","Duration: 7 days","Elf/HAIR/AVA_11_HAIR_07_01_L0.nif","This hat has the crest and ribbon of a Knight Apprentice.",""
"1180310","Knight Apprentice Hat","Run speed +1.0%","Duration: 30 days","Elf/HAIR/AVA_11_HAIR_07_01_L0.nif","This hat has the crest and ribbon of a Knight Apprentice.",""
"1180320","Knight Apprentice Hat","Run speed +1.0%","Duration: 90 days","Elf/HAIR/AVA_11_HAIR_07_01_L0.nif","This hat has the crest and ribbon of a Knight Apprentice.",""
"1180330","Knight Apprentice Hat","Run speed +1.0%","Duration: 1 day","Elf/HAIR/AVA_11_HAIR_07_01_L0.nif","This hat has the crest and ribbon of a Knight Apprentice.",""
"1180340","Knight Apprentice Hat","Run speed +1.0%","Duration: 365 days","Elf/HAIR/AVA_11_HAIR_07_01_L0.nif","This hat has the crest and ribbon of a Knight Apprentice.",""
"1180350","Knight Apprentice Hat","Run speed +1.0%","Unlimited","Elf/HAIR/AVA_11_HAIR_07_01_L0.nif","This hat has the crest and ribbon of a Knight Apprentice.",""
"1180301","Knight Apprentice Hat","HP +40","Duration: 7 days","Elf/HAIR/AVA_11_HAIR_07_01_L0.nif","This hat has the crest and ribbon of a Knight Apprentice.",""
"1180311","Knight Apprentice Hat","HP +40","Duration: 30 days","Elf/HAIR/AVA_11_HAIR_07_01_L0.nif","This hat has the crest and ribbon of a Knight Apprentice.",""
"1180321","Knight Apprentice Hat","HP +40","Duration: 90 days","Elf/HAIR/AVA_11_HAIR_07_01_L0.nif","This hat has the crest and ribbon of a Knight Apprentice.",""
"1180331","Knight Apprentice Hat","HP +40","Duration: 1 day","Elf/HAIR/AVA_11_HAIR_07_01_L0.nif","This hat has the crest and ribbon of a Knight Apprentice.",""
"1180341","Knight Apprentice Hat","HP +40","Duration: 365 days","Elf/HAIR/AVA_11_HAIR_07_01_L0.nif","This hat has the crest and ribbon of a Knight Apprentice.",""
"1180351","Knight Apprentice Hat","HP +40","Unlimited","Elf/HAIR/AVA_11_HAIR_07_01_L0.nif","This hat has the crest and ribbon of a Knight Apprentice.",""
"1180400","Witch Apprentice Hair","Run speed +1.0%","Duration: 7 days","Elf/HAIR/AVA_11_HAIR_08_01_L0.nif","A typical Witch Apprentice hair style.",""
"1180410","Witch Apprentice Hair","Run speed +1.0%","Duration: 30 days","Elf/HAIR/AVA_11_HAIR_08_01_L0.nif","A typical Witch Apprentice hair style.",""
"1180420","Witch Apprentice Hair","Run speed +1.0%","Duration: 90 days","Elf/HAIR/AVA_11_HAIR_08_01_L0.nif","A typical Witch Apprentice hair style.",""
"1180430","Witch Apprentice Hair","Run speed +1.0%","Duration: 1 day","Elf/HAIR/AVA_11_HAIR_08_01_L0.nif","A typical Witch Apprentice hair style.",""
"1180440","Witch Apprentice Hair","Run speed +1.0%","Duration: 365 days","Elf/HAIR/AVA_11_HAIR_08_01_L0.nif","A typical Witch Apprentice hair style.",""
"1180450","Witch Apprentice Hair","Run speed +1.0%","Unlimited","Elf/HAIR/AVA_11_HAIR_08_01_L0.nif","A typical Witch Apprentice hair style.",""
"1180401","Witch Apprentice Hair","HP +40","Duration: 7 days","Elf/HAIR/AVA_11_HAIR_08_01_L0.nif","A typical Witch Apprentice hair style.",""
"1180411","Witch Apprentice Hair","HP +40","Duration: 30 days","Elf/HAIR/AVA_11_HAIR_08_01_L0.nif","A typical Witch Apprentice hair style.",""
"1180421","Witch Apprentice Hair","HP +40","Duration: 90 days","Elf/HAIR/AVA_11_HAIR_08_01_L0.nif","A typical Witch Apprentice hair style.",""
"1180431","Witch Apprentice Hair","HP +40","Duration: 1 day","Elf/HAIR/AVA_11_HAIR_08_01_L0.nif","A typical Witch Apprentice hair style.",""
"1180441","Witch Apprentice Hair","HP +40","Duration: 365 days","Elf/HAIR/AVA_11_HAIR_08_01_L0.nif","A typical Witch Apprentice hair style.",""
"1180451","Witch Apprentice Hair","HP +40","Unlimited","Elf/HAIR/AVA_11_HAIR_08_01_L0.nif","A typical Witch Apprentice hair style.",""
"1180500","C-Curled Hair","Run speed +1.0%","Duration: 7 days","Elf/HAIR/AVA_11_HAIR_09_01_L0.nif","A cute hair style for the Yukata Summer Festivals. It will increase your defensive stats.",""
"1180510","C-Curled Hair","Run speed +1.0%","Duration: 30 days","Elf/HAIR/AVA_11_HAIR_09_01_L0.nif","A cute hair style for the Yukata Summer Festivals. It will increase your defensive stats.",""
"1180520","C-Curled Hair","Run speed +1.0%","Duration: 90 days","Elf/HAIR/AVA_11_HAIR_09_01_L0.nif","A cute hair style for the Yukata Summer Festivals. It will increase your defensive stats.",""
"1180530","C-Curled Hair","Run speed +1.0%","Duration: 1 day","Elf/HAIR/AVA_11_HAIR_09_01_L0.nif","A cute hair style for the Yukata Summer Festivals. It will increase your defensive stats.",""
"1180540","C-Curled Hair","Run speed +1.0%","Duration: 365 days","Elf/HAIR/AVA_11_HAIR_09_01_L0.nif","A cute hair style for the Yukata Summer Festivals. It will increase your defensive stats.",""
"1180550","C-Curled Hair","Run speed +1.0%","Unlimited","Elf/HAIR/AVA_11_HAIR_09_01_L0.nif","A cute hair style for the Yukata Summer Festivals. It will increase your defensive stats.",""
"1180501","C-Curled Hair","HP +40","Duration: 7 days","Elf/HAIR/AVA_11_HAIR_09_01_L0.nif","A cute hair style for the Yukata Summer Festivals. It will increase your defensive stats.",""
"1180511","C-Curled Hair","HP +40","Duration: 30 days","Elf/HAIR/AVA_11_HAIR_09_01_L0.nif","A cute hair style for the Yukata Summer Festivals. It will increase your defensive stats.",""
"1180521","C-Curled Hair","HP +40","Duration: 90 days","Elf/HAIR/AVA_11_HAIR_09_01_L0.nif","A cute hair style for the Yukata Summer Festivals. It will increase your defensive stats.",""
"1180531","C-Curled Hair","HP +40","Duration: 1 day","Elf/HAIR/AVA_11_HAIR_09_01_L0.nif","A cute hair style for the Yukata Summer Festivals. It will increase your defensive stats.",""
"1180541","C-Curled Hair","HP +40","Duration: 365 days","Elf/HAIR/AVA_11_HAIR_09_01_L0.nif","A cute hair style for the Yukata Summer Festivals. It will increase your defensive stats.",""
"1180551","C-Curled Hair","HP +40","Unlimited","Elf/HAIR/AVA_11_HAIR_09_01_L0.nif","A cute hair style for the Yukata Summer Festivals. It will increase your defensive stats.",""
"1180600","Horn of Malevolent","Run speed +1.0%","Duration: 7 days","Elf/HAIR/AVA_11_HAIR_10_01_L0.nif","This legendary edition has been released by the Juke Company.",""
"1180610","Horn of Malevolent","Run speed +1.0%","Duration: 30 days","Elf/HAIR/AVA_11_HAIR_10_01_L0.nif","This legendary edition has been released by the Juke Company.",""
"1180620","Horn of Malevolent","Run speed +1.0%","Duration: 90 days","Elf/HAIR/AVA_11_HAIR_10_01_L0.nif","This legendary edition has been released by the Juke Company.",""
"1180630","Horn of Malevolent","Run speed +1.0%","Duration: 1 day","Elf/HAIR/AVA_11_HAIR_10_01_L0.nif","This legendary edition has been released by the Juke Company.",""
"1180640","Horn of Malevolent","Run speed +1.0%","Duration: 365 days","Elf/HAIR/AVA_11_HAIR_10_01_L0.nif","This legendary edition has been released by the Juke Company.",""
"1180650","Horn of Malevolent","Run speed +1.0%","Unlimited","Elf/HAIR/AVA_11_HAIR_10_01_L0.nif","This legendary edition has been released by the Juke Company.",""
"1180601","Horn of Malevolent","HP +40","Duration: 7 days","Elf/HAIR/AVA_11_HAIR_10_01_L0.nif","This legendary edition has been released by the Juke Company.",""
"1180611","Horn of Malevolent","HP +40","Duration: 30 days","Elf/HAIR/AVA_11_HAIR_10_01_L0.nif","This legendary edition has been released by the Juke Company.",""
"1180621","Horn of Malevolent","HP +40","Duration: 90 days","Elf/HAIR/AVA_11_HAIR_10_01_L0.nif","This legendary edition has been released by the Juke Company.",""
"1180631","Horn of Malevolent","HP +40","Duration: 1 day","Elf/HAIR/AVA_11_HAIR_10_01_L0.nif","This legendary edition has been released by the Juke Company.",""
"1180641","Horn of Malevolent","HP +40","Duration: 365 days","Elf/HAIR/AVA_11_HAIR_10_01_L0.nif","This legendary edition has been released by the Juke Company.",""
"1180651","Horn of Malevolent","HP +40","Unlimited","Elf/HAIR/AVA_11_HAIR_10_01_L0.nif","This legendary edition has been released by the Juke Company.",""
"1180700","Talos Helmet","Run speed +1.0%","Duration: 7 days","Elf/HAIR/AVA_11_HAIR_11_01_L0.nif","A true Champion of the MicroVolts. The Defeater of Giants.",""
"1180710","Talos Helmet","Run speed +1.0%","Duration: 30 days","Elf/HAIR/AVA_11_HAIR_11_01_L0.nif","A true Champion of the MicroVolts. The Defeater of Giants.",""
