"Item ID","Name","Upgrades","Item Name Option","Item Name Time","Mesh File Name","Item Description"
"1114000","Graceful Binyeo Hair","Run speed +1.0%","Duration: 7 days","Gothloli/HAIR/AVA_03_HAIR_105_01_L0.nif","A traditional Korean hair accessorie used to tie up hair.",""
"1114010","Graceful Binyeo Hair","Run speed +1.0%","Duration: 30 days","Gothloli/HAIR/AVA_03_HAIR_105_01_L0.nif","A traditional Korean hair accessorie used to tie up hair.",""
"1114020","Graceful Binyeo Hair","Run speed +1.0%","Duration: 90 days","Gothloli/HAIR/AVA_03_HAIR_105_01_L0.nif","A traditional Korean hair accessorie used to tie up hair.",""
"1114030","Graceful Binyeo Hair","Run speed +1.0%","Duration: 1 day","Gothloli/HAIR/AVA_03_HAIR_105_01_L0.nif","A traditional Korean hair accessorie used to tie up hair.",""
"1114040","Graceful Binyeo Hair","Run speed +1.0%","Duration: 365 days","Gothloli/HAIR/AVA_03_HAIR_105_01_L0.nif","A traditional Korean hair accessorie used to tie up hair.",""
"1114050","Graceful Binyeo Hair","Run speed +1.0%","Unlimited","Gothloli/HAIR/AVA_03_HAIR_105_01_L0.nif","A traditional Korean hair accessorie used to tie up hair.",""
"1114001","Graceful Binyeo Hair","HP +40","Duration: 7 days","Gothloli/HAIR/AVA_03_HAIR_105_01_L0.nif","A traditional Korean hair accessorie used to tie up hair.",""
"1114011","Graceful Binyeo Hair","HP +40","Duration: 30 days","Gothloli/HAIR/AVA_03_HAIR_105_01_L0.nif","A traditional Korean hair accessorie used to tie up hair.",""
"1114021","Graceful Binyeo Hair","HP +40","Duration: 90 days","Gothloli/HAIR/AVA_03_HAIR_105_01_L0.nif","A traditional Korean hair accessorie used to tie up hair.",""
"1114031","Graceful Binyeo Hair","HP +40","Duration: 1 day","Gothloli/HAIR/AVA_03_HAIR_105_01_L0.nif","A traditional Korean hair accessorie used to tie up hair.",""
"1114041","Graceful Binyeo Hair","HP +40","Duration: 365 days","Gothloli/HAIR/AVA_03_HAIR_105_01_L0.nif","A traditional Korean hair accessorie used to tie up hair.",""
