"Item ID","Upgrades","Name","Item Name Option","Item Name Time","Mesh File Name","Item Description"
"3020000","Not unlimited/Not Upgradable","Cricket","0","Rifle/WPN_RIFLE_005_01.kfm","A well-balanced weapon with a chirp you'll hear from across the battleground.",""
"3020001","Not unlimited/Not Upgradable","Cricket [BETA]","0","Rifle/WPN_RIFLE_005_01.kfm","A well-balanced weapon with a chirp you'll hear from across the battleground.",""
"3020180","Not unlimited/Not Upgradable","Black Pepper","0","Rifle/WPN_RIFLE_004_01.kfm","Special Edition (Beta 2017)",""
"3020190","Not unlimited/Not Upgradable","White Pepper","0","Rifle/WPN_RIFLE_004_01.kfm","Special Edition (Beta 2017)",""
"3020100","Not unlimited/Not Upgradable","Pepper","0","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020110","Not unlimited/Not Upgradable","Pepper","0","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020120","Not unlimited/Not Upgradable","Pepper","0","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020130","Not unlimited/Not Upgradable","Pepper","0","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020140","Not unlimited/Not Upgradable","Pepper","0","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020150","Power - Level 0","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020151","Power - Level 1","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020152","Power - Level 2","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020153","Power - Level 3","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020154","Power - Level 4","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020155","Power - Level 5","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020156","Power - Level 6","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020157","Power - Level 7","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020158","Power - Level 8","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020159","Power - Level 9","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020161","Accuracy - Level 1","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020162","Accuracy - Level 2","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020163","Accuracy - Level 3","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020164","Accuracy - Level 4","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020165","Accuracy - Level 5","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020166","Accuracy - Level 6","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020167","Accuracy - Level 7","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020168","Accuracy - Level 8","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020169","Accuracy - Level 9","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020171","Ammo Capacity - Level 1","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020172","Ammo Capacity - Level 2","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020173","Ammo Capacity - Level 3","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020174","Ammo Capacity - Level 4","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020175","Ammo Capacity - Level 5","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020176","Ammo Capacity - Level 6","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020177","Ammo Capacity - Level 7","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020178","Ammo Capacity - Level 8","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020179","Ammo Capacity - Level 9","Pepper","1","Rifle/WPN_RIFLE_004_01.kfm","Pepper your enemies with rapid fire before they even know what hit them.",""
"3020280","Not unlimited/Not Upgradable","Black Hornet","0","Rifle/WPN_RIFLE_003_01.kfm","Special Edition (Beta 2017)",""
"3020290","Not unlimited/Not Upgradable","White Hornet","0","Rifle/WPN_RIFLE_003_01.kfm","Special Edition (Beta 2017)",""
"3020200","Not unlimited/Not Upgradable","Hornet","0","Rifle/WPN_RIFLE_003_01.kfm","Leave your enemies with a brutal sting after you attack them with the Hornet.",""
"3020210","Not unlimited/Not Upgradable","Hornet","0","Rifle/WPN_RIFLE_003_01.kfm","Leave your enemies with a brutal sting after you attack them with the Hornet.",""
"3020220","Not unlimited/Not Upgradable","Hornet","0","Rifle/WPN_RIFLE_003_01.kfm","Leave your enemies with a brutal sting after you attack them with the Hornet.",""
