"Item ID","Upgrades","Name","Item Name Option","Item Name Time","Mesh File Name","Item Description"
"3030000","Not unlimited/Not Upgradable","Zolo","0","Shotgun/WPN_SHOTGUN_001_01.kfm","Get nice and close to your enemies with this killer shotgun. Show no mercy.",""
"3030001","Not unlimited/Not Upgradable","Zolo","0","Shotgun/WPN_SHOTGUN_001_01.kfm","Get nice and close to your enemies with this killer shotgun. Show no mercy.",""
"3030180","Not unlimited/Not Upgradable","Black KW-79","0","Shotgun/WPN_SHOTGUN_005_01.kfm","Special Edition (Beta 2017)",""
"3030190","Not unlimited/Not Upgradable","White KW-79","0","Shotgun/WPN_SHOTGUN_005_01.kfm","Special Edition (Beta 2017)",""
"3030100","Not unlimited/Not Upgradable","KW-79","0","Shotgun/WPN_SHOTGUN_005_01.kfm","With your loaded ammo at the tip of your shotgun, watching your opponents get killed just got sweeter.",""
"3030110","Not unlimited/Not Upgradable","KW-79","0","Shotgun/WPN_SHOTGUN_005_01.kfm","With your loaded ammo at the tip of your shotgun, watching your opponents get killed just got sweeter.",""
"3030120","Not unlimited/Not Upgradable","KW-79","0","Shotgun/WPN_SHOTGUN_005_01.kfm","With your loaded ammo at the tip of your shotgun, watching your opponents get killed just got sweeter.",""
"3030130","Not unlimited/Not Upgradable","KW-79","0","Shotgun/WPN_SHOTGUN_005_01.kfm","With your loaded ammo at the tip of your shotgun, watching your opponents get killed just got sweeter.",""
"3030140","Not unlimited/Not Upgradable","KW-79","0","Shotgun/WPN_SHOTGUN_005_01.kfm","With your loaded ammo at the tip of your shotgun, watching your opponents get killed just got sweeter.",""
"3030150","Power - Level 0","KW-79","1","Shotgun/WPN_SHOTGUN_005_01.kfm","With your loaded ammo at the tip of your shotgun, watching your opponents get killed just got sweeter.",""
"3030151","Power - Level 1","KW-79","1","Shotgun/WPN_SHOTGUN_005_01.kfm","With your loaded ammo at the tip of your shotgun, watching your opponents get killed just got sweeter.",""
"3030152","Power - Level 2","KW-79","1","Shotgun/WPN_SHOTGUN_005_01.kfm","With your loaded ammo at the tip of your shotgun, watching your opponents get killed just got sweeter.",""
"3030153","Power - Level 3","KW-79","1","Shotgun/WPN_SHOTGUN_005_01.kfm","With your loaded ammo at the tip of your shotgun, watching your opponents get killed just got sweeter.",""
"3030154","Power - Level 4","KW-79","1","Shotgun/WPN_SHOTGUN_005_01.kfm","With your loaded ammo at the tip of your shotgun, watching your opponents get killed just got sweeter.",""
"3030155","Power - Level 5","KW-79","1","Shotgun/WPN_SHOTGUN_005_01.kfm","With your loaded ammo at the tip of your shotgun, watching your opponents get killed just got sweeter.",""
"3030156","Power - Level 6","KW-79","1","Shotgun/WPN_SHOTGUN_005_01.kfm","With your loaded ammo at the tip of your shotgun, watching your opponents get killed just got sweeter.",""
"3030157","Power - Level 7","KW-79","1","Shotgun/WPN_SHOTGUN_005_01.kfm","With your loaded ammo at the tip of your shotgun, watching your opponents get killed just got sweeter.",""
"3030158","Power - Level 8","KW-79","1","Shotgun/WPN_SHOTGUN_005_01.kfm","With your loaded ammo at the tip of your shotgun, watching your opponents get killed just got sweeter.",""
"3030159","Power - Level 9","KW-79","1","Shotgun/WPN_SHOTGUN_005_01.kfm","With your loaded ammo at the tip of your shotgun, watching your opponents get killed just got sweeter.",""
"3030161","Firing Rate - Level 1","KW-79","1","Shotgun/WPN_SHOTGUN_005_01.kfm","With your loaded ammo at the tip of your shotgun, watching your opponents get killed just got sweeter.",""
